[ 2026-03-27 16:21:46,278 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-27 16:21:50,327 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-27 16:21:50,328 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-27 16:21:50,328 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-27 16:21:50,419 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-27 16:21:50,420 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-27 16:21:50,429 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-27 16:21:50,544 ] 32 root - INFO - Required number of columns:2
[ 2026-03-27 16:21:50,547 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-27 16:21:50,547 ] 32 root - INFO - Required number of columns:2
[ 2026-03-27 16:21:50,547 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-27 16:21:50,724 ] 28 root - INFO - data Validation Completed
[ 2026-03-27 16:21:50,725 ] 31 root - INFO - data Transformation started
[ 2026-03-27 16:21:50,725 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-27 16:21:50,725 ] 65 root - INFO - Starting data transformation
[ 2026-03-27 16:21:50,768 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-27 16:21:50,768 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-27 16:21:50,798 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-27 16:21:50,803 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-27 16:21:50,804 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-27 16:21:50,807 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-27 16:21:50,815 ] 35 root - INFO - data Transformation completed
